Mitigator,Disinformer,Mitigator_URL,Disinformer_URL,Mitigator_ID,Disinformer_ID,Labeled_Mitigator,Labeled_Disinformer,Ratio,Selected
Synchronous Communication,Asynchronous Communication,https://en.wikipedia.org/wiki/Synchronization_(computer_science),https://en.wikipedia.org/wiki/Asynchrony_(computer_programming),4726017,49031794,1,1,0,0
White Box Testing,Black Box Testing,https://en.wikipedia.org/wiki/White-box_testing,https://en.wikipedia.org/wiki/Black-box_testing,768799,275909,16,16,0,0
Declarative Language,Procedural Language,https://en.wikipedia.org/wiki/Declarative_programming,https://en.wikipedia.org/wiki/Procedural_programming,210648,23801,55,55,0,1
Stack Memory,Heap Memory,https://en.wikipedia.org/wiki/Stack_(abstract_data_type),https://en.wikipedia.org/wiki/Heap_(data_structure),273993,13996,1,1,0,0
Optimism,Pessimism,https://en.wikipedia.org/wiki/Optimism,https://en.wikipedia.org/wiki/Pessimism,47487167,24743,155,155,0,1
Public Sector,Private Sector,https://en.wikipedia.org/wiki/Public_sector,https://en.wikipedia.org/wiki/Private_sector,334803,251540,857,857,0,0
Functionalism in Architecture,Formalism in Architecture,https://en.wikipedia.org/wiki/Functionalism_(architecture),https://en.wikipedia.org/wiki/Formalism_(art),568755,773685,1,1,0,0
Realism in International Relations,Liberalism in International Relations,https://en.wikipedia.org/wiki/Realism_(international_relations),https://en.wikipedia.org/wiki/Liberalism_(international_relations),2940911,34228932,1,1,0,0
Innovation,Tradition,https://en.wikipedia.org/wiki/Innovation,https://en.wikipedia.org/wiki/Tradition,118450,30067,1079,1078,0.0004026838322,0
Analytic Philosophy,Continental Philosophy,https://en.wikipedia.org/wiki/Analytic_philosophy,https://en.wikipedia.org/wiki/Continental_philosophy,159211,309641,626,625,0.0006943158664,0
Deductive Reasoning,Inductive Reasoning,https://en.wikipedia.org/wiki/Deductive_reasoning,https://en.wikipedia.org/wiki/Inductive_reasoning,61093,393736,154,153,0.002829290019,0
Supervised Learning,Unsupervised Learning,https://en.wikipedia.org/wiki/Supervised_learning,https://en.wikipedia.org/wiki/Unsupervised_learning,20926,233497,100,99,0.004364805402,0
Rationalism,Empiricism,https://en.wikipedia.org/wiki/Rationalism,https://en.wikipedia.org/wiki/Empiricism,63753,10174,537,531,0.004879764618,1
Depth-First Search,Breadth-First Search,https://en.wikipedia.org/wiki/Depth-first_search,https://en.wikipedia.org/wiki/Breadth-first_search,97034,97026,78,77,0.005603877518,0
Liberalism,Conservatism,https://en.wikipedia.org/wiki/Liberalism,https://en.wikipedia.org/wiki/Conservatism,19280734,6675,2586,2419,0.02899265218,0
Imperialism,Colonialism,https://en.wikipedia.org/wiki/Imperialism,https://en.wikipedia.org/wiki/Colonialism,15316,7299,1297,1417,0.03842987416,0
Bottom-Up Parsing,Top-Down Parsing,https://en.wikipedia.org/wiki/Bottom-up_parsing,https://en.wikipedia.org/wiki/Top-down_parsing,679521,339102,9,8,0.05115252245,0
Interlaced Scanning,Progressive Scanning,https://en.wikipedia.org/wiki/Interlaced_video,https://en.wikipedia.org/wiki/Progressive_scan,56189,149129,76,86,0.05368485896,0
Consumerism,Minimalism,https://en.wikipedia.org/wiki/Consumerism,https://en.wikipedia.org/wiki/Minimalism,170522,20836,763,885,0.06441873274,0
Formal Language,Natural Language,https://en.wikipedia.org/wiki/Formal_language,https://en.wikipedia.org/wiki/Natural_language,10939,21173,356,419,0.07076402499,0
Monotheism,Polytheism,https://en.wikipedia.org/wiki/Monotheism,https://en.wikipedia.org/wiki/Polytheism,19522,19195836,392,333,0.07084183351,0
Block Cipher,Stream Cipher,https://en.wikipedia.org/wiki/Block_cipher,https://en.wikipedia.org/wiki/Stream_cipher,4594,49007,195,164,0.07519076331,0
Open Source,Proprietary Software,https://en.wikipedia.org/wiki/Open-source_software,https://en.wikipedia.org/wiki/Proprietary_software,277663,18934886,767,912,0.07519947438,0
Logical Positivism,Post-structuralism,https://en.wikipedia.org/wiki/Logical_positivism,https://en.wikipedia.org/wiki/Post-structuralism,18403,24902,215,266,0.09244317672,0
Capitalism,Socialism,https://en.wikipedia.org/wiki/Capitalism,https://en.wikipedia.org/wiki/Socialism,5416,26847,2704,3400,0.09947222977,0
Direct Democracy,Representative Democracy,https://en.wikipedia.org/wiki/Direct_democracy,https://en.wikipedia.org/wiki/Representative_democracy,95816,52318,741,577,0.1086423948,0
Pacifism,Militarism,https://en.wikipedia.org/wiki/Pacifism,https://en.wikipedia.org/wiki/Militarism,24956,199160,749,548,0.1357012592,0
Lossy Compression,Lossless Compression,https://en.wikipedia.org/wiki/Lossy_compression,https://en.wikipedia.org/wiki/Lossless_compression,18208,18209,111,80,0.1422329918,0
Time Division Multiplexing,Frequency Division Multiplexing,https://en.wikipedia.org/wiki/Time-division_multiplexing,https://en.wikipedia.org/wiki/Frequency-division_multiplexing,41796,86376,81,57,0.1526101632,0
Capital Punishment,Life Imprisonment,https://en.wikipedia.org/wiki/Capital_punishment,https://en.wikipedia.org/wiki/Life_imprisonment,5902,148681,1915,2779,0.1617197685,0
Synchronous Learning,Asynchronous Learning,https://en.wikipedia.org/wiki/Synchronous_learning,https://en.wikipedia.org/wiki/Asynchronous_learning,5012810,1340846,11,16,0.1627272975,0
Raster Graphics,Vector Graphics,https://en.wikipedia.org/wiki/Raster_graphics,https://en.wikipedia.org/wiki/Vector_graphics,25742,32499,167,256,0.1855234942,0
Idealism,Materialism,https://en.wikipedia.org/wiki/Idealism,https://en.wikipedia.org/wiki/Materialism,15428,19376,503,772,0.1860493153,0
Urbanization,Rural Life,https://en.wikipedia.org/wiki/Urbanization,https://en.wikipedia.org/wiki/Rural_area,56114,212614,1237,782,0.1991629466,0
Essentialism,Constructionism,https://en.wikipedia.org/wiki/Essentialism,https://en.wikipedia.org/wiki/Social_constructionism,48081,203510,169,269,0.2018655754,0
Physicalism,Dualism,https://en.wikipedia.org/wiki/Physicalism,https://en.wikipedia.org/wiki/Dualism,23479,11142067,113,187,0.2187631631,0
Ethnocentrism,Cultural Relativism,https://en.wikipedia.org/wiki/Ethnocentrism,https://en.wikipedia.org/wiki/Cultural_relativism,9827,54943,235,142,0.2187795179,0
Multilateralism,Unilateralism,https://en.wikipedia.org/wiki/Multilateralism,https://en.wikipedia.org/wiki/Unilateralism,427559,607637,98,58,0.2277980821,0
